Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Alex Abrines\abrinal01,SG,24,OKC,75,8,1134,5.0,12.7,.395,3.7,9.7,.380,1.4,3.1,.443,1.7,2.0,.848,1.1,3.9,5.0,1.2,1.7,0.4,1.1,5.4,15.4,,116,110
2,Quincy Acy\acyqu01,PF,27,BRK,70,8,1359,4.6,13.0,.356,3.6,10.4,.349,1.0,2.6,.384,1.8,2.1,.817,1.4,7.7,9.1,2.0,1.2,1.0,2.1,5.3,14.7,,99,110
3,Steven Adams\adamsst01,C,24,OKC,76,76,2487,8.9,14.2,.629,0.0,0.0,.000,8.9,14.2,.631,3.2,5.7,.557,7.7,6.0,13.7,1.8,1.8,1.6,2.6,4.3,21.1,,125,107
4,Bam Adebayo\adebaba01,C,20,MIA,69,19,1368,6.4,12.5,.512,0.0,0.3,.000,6.4,12.2,.523,4.7,6.6,.721,4.3,9.7,14.0,3.7,1.2,1.5,2.4,5.1,17.5,,116,105
5,Arron Afflalo\afflaar01,SG,32,ORL,53,3,682,4.7,11.6,.401,1.9,5.0,.386,2.7,6.6,.413,1.6,1.9,.846,0.3,4.5,4.7,2.2,0.3,0.6,1.5,4.0,12.8,,98,115
6,Cole Aldrich\aldrico01,C,29,MIN,21,0,49,5.1,15.3,.333,0.0,0.0,,5.1,15.3,.333,2.0,6.1,.333,3.1,12.2,15.3,3.1,2.0,1.0,1.0,11.2,12.2,,85,107
7,LaMarcus Aldridge\aldrila01,C,32,SAS,75,75,2509,13.8,27.1,.510,0.5,1.9,.293,13.3,25.3,.526,6.7,8.0,.837,5.0,7.8,12.8,3.1,0.9,1.8,2.2,3.3,34.9,,118,105
8,Jarrett Allen\allenja01,C,19,BRK,72,31,1441,7.9,13.4,.589,0.2,0.5,.333,7.7,12.9,.599,3.8,5.0,.776,4.9,8.2,13.1,1.7,0.9,3.0,2.8,5.0,19.8,,119,108
9,Kadeem Allen\allenka01,PG,25,BOS,18,1,107,2.8,10.3,.273,0.0,5.1,.000,2.8,5.1,.545,3.3,4.2,.778,1.9,3.3,5.1,5.6,1.4,0.9,4.2,7.0,8.9,,78,106
10,Tony Allen\allento01,SF,36,NOP,22,0,273,7.7,15.9,.484,0.7,2.1,.333,7.0,13.8,.506,1.9,3.7,.524,3.5,4.7,8.2,1.6,1.9,0.5,3.3,8.6,18.0,,95,110
11,Al-Farouq Aminu\aminual01,PF,27,POR,69,67,2072,5.5,14.0,.395,3.0,8.1,.369,2.5,5.8,.432,1.4,1.9,.738,2.3,10.3,12.6,2.0,1.9,1.0,1.9,3.3,15.5,,105,104
12,Justin Anderson\anderju01,SF,24,PHI,38,0,519,8.1,18.7,.431,3.2,9.5,.330,4.9,9.2,.535,2.6,3.5,.737,2.3,6.3,8.6,2.3,1.4,0.6,1.5,5.0,21.9,,110,107
13,Kyle Anderson\anderky01,SF,24,SAS,74,67,1978,5.9,11.2,.527,0.5,1.5,.333,5.4,9.7,.556,2.7,3.7,.712,2.1,8.0,10.1,5.2,2.9,1.5,2.4,2.9,14.9,,114,101
14,Ryan Anderson\anderry01,PF,29,HOU,66,50,1725,5.9,13.7,.431,3.7,9.7,.386,2.2,4.0,.539,2.1,2.7,.774,2.7,6.8,9.4,1.7,0.7,0.6,1.2,3.6,17.6,,121,109
15,Ike Anigbogu\anigbik01,C,19,IND,11,0,30,6.7,15.0,.444,0.0,0.0,,6.7,15.0,.444,8.3,10.0,.833,8.3,6.7,15.0,0.0,1.7,5.0,3.3,1.7,21.7,,114,104
16,Giannis Antetokounmpo\antetgi01,PF,23,MIL,75,75,2756,13.4,25.4,.529,0.8,2.5,.307,12.6,22.8,.554,8.8,11.6,.760,2.8,10.8,13.6,6.5,2.0,1.9,4.0,4.2,36.4,,116,106
17,Carmelo Anthony\anthoca01,PF,33,OKC,78,78,2501,9.4,23.2,.404,3.4,9.4,.357,6.0,13.8,.437,2.9,3.8,.767,1.3,7.7,9.0,2.0,0.9,1.0,2.0,3.9,25.0,,104,109
18,OG Anunoby\anunoog01,SF,20,TOR,74,62,1481,5.4,11.5,.471,2.4,6.6,.371,3.0,5.0,.604,1.3,2.1,.629,1.5,4.7,6.1,1.8,1.7,0.5,1.5,4.3,14.6,,113,108
19,Ryan Arcidiacono\arcidry01,PG,23,CHI,24,0,304,2.7,6.6,.415,1.4,5.0,.290,1.3,1.6,.800,0.8,1.0,.833,0.2,3.9,4.0,5.6,2.1,0.0,2.1,2.9,7.7,,105,112
20,Trevor Ariza\arizatr01,SF,32,HOU,67,67,2269,5.8,14.1,.412,3.7,10.0,.368,2.1,4.1,.519,1.6,1.9,.854,0.7,5.7,6.4,2.3,2.1,0.3,1.1,2.9,17.0,,114,107
21,Darrell Arthur\arthuda01,PF,29,DEN,19,1,141,7.7,16.5,.468,2.8,8.1,.348,4.9,8.4,.583,0.7,1.1,.667,1.1,4.2,5.3,3.2,2.8,1.1,5.3,7.7,19.0,,90,109
22,Jamel Artis\artisja01,SG,25,ORL,15,1,279,5.4,13.9,.392,1.4,5.1,.276,4.0,8.8,.460,1.2,2.1,.583,0.7,6.0,6.7,3.2,0.4,0.5,1.4,1.9,13.5,,94,114
23,Omer Asik\asikom01,C,31,TOT,18,0,182,2.4,5.8,.409,0.0,0.0,,2.4,5.8,.409,1.1,3.4,.308,2.4,10.0,12.4,0.8,0.5,1.1,2.4,5.3,5.8,,76,110
23,Omer Asik\asikom01,C,31,NOP,14,0,121,2.8,6.3,.438,0.0,0.0,,2.8,6.3,.438,1.6,4.7,.333,2.8,11.8,14.6,0.8,0.4,0.8,2.0,5.5,7.1,,85,109
23,Omer Asik\asikom01,C,31,CHI,4,0,61,1.6,4.8,.333,0.0,0.0,,1.6,4.8,.333,0.0,0.8,.000,1.6,6.4,8.0,0.8,0.8,1.6,3.2,4.8,3.2,,52,112
24,D.J. Augustin\augusdj01,PG,30,ORL,75,36,1760,6.8,15.0,.452,3.2,7.6,.419,3.6,7.5,.485,4.6,5.3,.868,0.8,3.6,4.5,8.0,1.5,0.0,3.4,2.6,21.3,,116,113
25,Luke Babbitt\babbilu01,SF,28,TOT,50,14,715,6.3,14.8,.423,4.1,10.7,.385,2.1,4.1,.525,1.2,1.5,.773,0.5,6.1,6.6,2.1,0.5,0.5,1.3,3.7,17.8,,109,113
25,Luke Babbitt\babbilu01,SF,28,ATL,37,9,570,6.9,14.4,.476,4.2,9.5,.441,2.7,4.9,.544,1.5,1.9,.773,0.4,6.5,6.9,2.2,0.6,0.4,1.3,4.0,19.4,,119,114
25,Luke Babbitt\babbilu01,SF,28,MIA,13,5,145,3.8,16.3,.234,3.8,15.6,.244,0.0,0.7,.000,0.0,0.0,,0.7,4.5,5.2,1.7,0.3,0.7,1.4,2.4,11.4,,74,111
26,Dwayne Bacon\bacondw01,SG,22,CHO,53,6,713,4.9,13.1,.375,0.8,2.9,.256,4.2,10.2,.409,1.4,1.7,.800,0.3,8.2,8.5,2.6,1.1,0.1,1.6,3.1,12.0,,88,111
27,Ron Baker\bakerro01,SG,24,NYK,29,1,385,2.6,7.6,.339,1.4,4.2,.333,1.2,3.3,.346,2.6,3.3,.769,0.6,3.2,3.9,6.1,3.3,0.8,2.3,4.2,9.1,,104,109
28,Wade Baldwin\baldwwa01,PG,21,POR,7,0,80,8.7,13.1,.667,2.5,3.1,.800,6.2,9.9,.625,3.7,6.2,.600,0.6,4.4,5.0,3.1,1.2,0.6,2.5,7.5,23.6,,131,109
29,Lonzo Ball\balllo01,PG,20,LAL,52,50,1780,5.5,15.2,.360,2.4,7.9,.305,3.0,7.2,.420,0.9,1.9,.451,1.9,7.8,9.7,10.1,2.4,1.2,3.7,3.1,14.2,,97,106
30,J.J. Barea\bareajo01,PG,33,DAL,69,10,1603,9.5,21.6,.439,3.6,9.8,.367,5.9,11.8,.499,2.5,3.2,.784,0.5,5.8,6.3,13.6,1.1,0.1,4.5,2.6,25.1,,109,112
31,Harrison Barnes\barneha02,PF,25,DAL,77,77,2634,10.2,23.0,.445,2.3,6.3,.357,8.0,16.7,.478,4.9,6.0,.827,1.5,7.5,8.9,2.9,0.9,0.3,2.2,1.8,27.7,,105,111
32,Will Barton\bartowi01,SG,27,DEN,81,40,2683,8.6,19.0,.452,2.9,7.8,.370,5.7,11.2,.510,3.4,4.2,.805,1.3,6.3,7.6,6.1,1.5,1.0,2.8,3.1,23.4,,113,112
33,Nicolas Batum\batumni01,SG,29,CHO,64,64,1981,6.6,16.0,.415,2.3,6.7,.336,4.4,9.3,.473,2.7,3.2,.831,1.4,6.1,7.5,8.6,1.6,0.6,3.2,1.8,18.2,,107,110
34,Jerryd Bayless\bayleje01,SG,29,PHI,39,11,925,5.7,13.6,.416,2.8,7.6,.370,2.9,6.0,.474,1.8,2.3,.795,0.8,3.4,4.2,2.8,1.2,0.3,2.4,4.7,16.0,,102,109
35,Aron Baynes\baynear01,C,31,BOS,81,67,1485,7.1,15.0,.471,0.1,0.7,.143,7.0,14.3,.487,2.0,2.6,.756,4.4,10.2,14.6,3.1,0.7,1.7,2.7,6.7,16.2,,103,103
36,Kent Bazemore\bazemke01,SG,28,ATL,65,65,1789,7.8,18.5,.420,2.9,7.5,.394,4.8,11.0,.438,4.4,5.5,.796,0.7,6.1,6.8,6.2,2.7,1.2,4.3,4.0,22.8,,101,108
37,Bradley Beal\bealbr01,SG,24,WAS,82,82,2977,11.4,24.8,.460,3.3,8.8,.375,8.1,15.9,.507,4.9,6.1,.793,1.0,5.0,6.1,6.2,1.6,0.6,3.6,2.7,31.0,,109,110
38,Malik Beasley\beaslma01,SG,21,DEN,62,0,583,6.2,15.1,.410,2.4,7.0,.341,3.8,8.2,.469,1.9,2.8,.667,1.2,4.8,6.0,2.6,1.3,0.6,2.0,3.1,16.7,,101,113
39,Michael Beasley\beaslmi01,PF,29,NYK,74,30,1653,12.3,24.2,.507,1.0,2.6,.395,11.2,21.6,.520,3.7,4.8,.780,2.9,9.5,12.4,3.7,1.1,1.3,4.3,4.3,29.3,,103,110
40,Marco Belinelli\belinma01,SG,31,TOT,80,2,1947,8.4,19.0,.442,3.7,9.9,.377,4.7,9.2,.511,3.7,4.1,.908,0.5,3.3,3.7,3.7,1.6,0.3,2.3,2.3,24.2,,111,111
40,Marco Belinelli\belinma01,SG,31,ATL,52,1,1210,8.0,19.5,.411,3.7,10.0,.372,4.3,9.6,.451,4.1,4.4,.927,0.5,3.5,4.0,4.2,1.9,0.1,2.2,1.7,23.9,,109,113
40,Marco Belinelli\belinma01,SG,31,PHI,28,1,737,9.0,18.2,.495,3.7,9.7,.385,5.3,8.5,.618,3.1,3.5,.870,0.4,2.9,3.3,2.9,1.3,0.6,2.6,3.3,24.8,,114,109
41,Jordan Bell\belljo01,C,23,GSW,57,13,809,6.9,11.0,.627,0.0,0.2,.000,6.9,10.8,.641,1.8,2.6,.682,3.6,8.8,12.3,6.1,2.1,3.3,3.0,5.5,15.6,,121,103
42,DeAndre' Bembry\bembrde01,SF,23,ATL,26,3,455,5.7,13.7,.414,1.2,3.2,.367,4.5,10.5,.429,2.0,3.5,.576,0.9,6.9,7.7,5.3,2.3,1.3,5.0,4.1,14.6,,83,109
43,Dragan Bender\bendedr01,PF,20,PHO,82,37,2069,4.3,11.2,.386,2.7,7.4,.366,1.6,3.7,.426,0.9,1.2,.765,0.9,7.4,8.4,3.0,0.5,1.2,2.6,3.8,12.3,,95,114
44,Davis Bertans\bertada01,PF,25,SAS,77,10,1086,7.5,17.0,.440,4.4,11.7,.373,3.1,5.3,.588,1.9,2.3,.816,0.8,6.3,7.1,3.4,1.2,1.3,1.7,4.3,21.2,,115,106
45,Patrick Beverley\beverpa01,SG,29,LAC,11,11,334,7.0,17.3,.403,3.5,8.7,.400,3.5,8.6,.407,2.0,2.5,.824,2.3,4.2,6.6,4.7,2.6,0.7,3.6,4.9,19.5,,102,110
46,Khem Birch\birchkh01,C,25,ORL,42,0,578,5.8,10.7,.540,0.0,0.0,,5.8,10.7,.540,3.6,5.2,.689,5.9,9.3,15.2,2.9,1.3,1.8,1.8,4.7,15.1,,123,108
47,Jabari Bird\birdja01,SG,23,BOS,13,1,115,6.5,11.3,.577,1.3,3.0,.429,5.2,8.3,.632,2.6,5.6,.462,2.6,5.6,8.3,3.5,1.3,0.4,3.5,3.0,16.9,,107,106
48,Bismack Biyombo\biyombi01,C,25,ORL,82,25,1495,6.0,11.5,.520,0.0,0.0,.000,6.0,11.5,.521,3.3,5.1,.650,4.7,10.6,15.3,2.2,0.7,3.1,2.8,5.2,15.3,,108,107
49,Nemanja Bjelica\bjeline01,PF,29,MIN,67,21,1371,6.2,13.5,.461,2.8,6.7,.415,3.5,6.9,.505,1.3,1.6,.800,1.9,8.1,10.0,3.1,1.8,0.6,1.9,5.1,16.6,,114,110
50,Tarik Black\blackta01,C,26,HOU,51,2,536,6.9,11.7,.591,0.1,1.0,.091,6.8,10.6,.638,2.7,5.8,.460,5.8,9.2,15.0,1.2,1.9,2.8,3.2,9.8,16.5,,110,102
51,Antonio Blakeney\blakean01,SG,21,CHI,19,0,314,8.2,22.2,.371,2.3,8.1,.288,5.9,14.1,.418,4.7,6.1,.769,0.6,4.5,5.1,3.1,1.1,0.2,1.7,3.0,23.5,,96,114
52,Eric Bledsoe\bledser01,PG,28,TOT,74,74,2322,10.0,21.2,.473,2.7,7.7,.347,7.4,13.5,.545,5.4,6.8,.792,1.1,5.0,6.1,7.9,3.2,0.9,4.6,4.0,28.2,,108,108
52,Eric Bledsoe\bledser01,PG,28,PHO,3,3,83,9.2,23.1,.400,2.3,7.5,.308,6.9,15.6,.444,6.3,8.1,.786,1.7,2.3,4.0,5.2,2.3,1.2,5.8,3.5,27.1,,94,113
52,Eric Bledsoe\bledser01,PG,28,MIL,71,71,2239,10.1,21.1,.476,2.7,7.7,.349,7.4,13.4,.550,5.4,6.8,.793,1.1,5.1,6.2,8.0,3.2,0.9,4.6,4.0,28.2,,109,108
53,Vander Blue\blueva01,SG,25,LAL,5,0,45,1.1,5.3,.200,0.0,2.1,.000,1.1,3.2,.333,1.1,2.1,.500,0.0,1.1,1.1,3.2,1.1,0.0,3.2,2.1,3.2,,52,114
54,Bogdan Bogdanovic\bogdabo01,SG,25,SAC,78,53,2175,8.0,18.0,.446,3.0,7.7,.392,5.0,10.3,.485,2.3,2.8,.840,0.7,4.5,5.2,6.0,1.7,0.4,2.9,4.0,21.3,,107,113
55,Bojan Bogdanovic\bogdabo02,SF,28,IND,80,80,2464,8.2,17.3,.474,3.1,7.8,.402,5.1,9.5,.534,3.6,4.2,.868,0.6,4.9,5.5,2.4,1.1,0.2,2.1,2.6,23.1,,114,112
56,Andrew Bogut\bogutan01,C,33,LAL,23,5,216,3.8,5.5,.680,0.0,0.0,,3.8,5.5,.680,0.4,0.4,1.000,5.8,11.5,17.3,3.3,0.9,2.9,4.2,8.9,8.0,,106,104
57,Joel Bolomboy\bolomjo01,PF,24,MIL,6,0,38,3.9,7.9,.500,0.0,1.3,.000,3.9,6.6,.600,3.9,7.9,.500,7.9,5.2,13.1,0.0,2.6,0.0,2.6,3.9,11.8,,109,111
58,Devin Booker\bookede01,SG,21,PHO,54,54,1865,11.7,27.1,.432,3.8,9.9,.383,7.9,17.2,.460,7.4,8.4,.878,0.7,5.6,6.3,6.5,1.2,0.4,5.0,4.3,34.5,,105,115
59,Trevor Booker\booketr01,PF,30,TOT,68,7,1158,7.4,14.4,.516,0.3,1.4,.242,7.1,13.0,.545,2.8,3.9,.710,4.9,8.4,13.4,3.4,1.2,0.9,2.5,5.0,18.0,,114,108
59,Trevor Booker\booketr01,PF,30,BRK,18,6,395,9.5,18.4,.513,0.4,1.5,.250,9.1,17.0,.536,2.9,5.3,.558,4.7,10.0,14.6,4.7,1.0,0.6,3.7,5.3,22.2,,105,110
59,Trevor Booker\booketr01,PF,30,PHI,33,0,494,5.9,10.6,.560,0.2,0.7,.286,5.7,9.9,.578,3.1,3.8,.821,4.6,7.3,11.9,2.6,1.6,1.1,1.9,5.0,15.2,,125,105
59,Trevor Booker\booketr01,PF,30,IND,17,1,269,7.2,15.6,.464,0.6,2.6,.214,6.7,13.0,.514,1.9,2.0,.909,5.9,8.4,14.3,3.2,0.7,0.9,1.7,4.8,16.9,,115,110
60,Chris Boucher\bouchch01,PF,25,GSW,1,0,1,0.0,48.2,.000,0.0,48.2,.000,0.0,0.0,,0.0,0.0,,0.0,48.2,48.2,0.0,0.0,0.0,0.0,0.0,0.0,,0,88
61,Avery Bradley\bradlav01,SG,27,TOT,46,46,1433,9.0,21.7,.414,2.6,7.0,.369,6.4,14.6,.436,2.2,2.8,.768,0.8,3.3,4.0,3.3,1.8,0.3,3.5,3.2,22.8,,92,110
61,Avery Bradley\bradlav01,SG,27,DET,40,40,1268,9.2,22.4,.409,2.9,7.6,.381,6.3,14.8,.423,2.4,3.1,.763,0.7,3.0,3.7,3.3,1.8,0.3,3.7,3.1,23.6,,92,110
61,Avery Bradley\bradlav01,SG,27,LAC,6,6,165,7.7,16.2,.473,0.3,2.7,.111,7.4,13.6,.543,0.6,0.6,1.000,0.9,5.6,6.5,3.2,1.5,0.3,2.4,3.5,16.2,,96,112
62,Tony Bradley\bradlto01,C,20,UTA,9,0,29,5.2,19.0,.273,0.0,1.7,.000,5.2,17.3,.300,3.5,3.5,1.000,6.9,12.1,19.0,1.7,0.0,0.0,0.0,1.7,13.8,,95,107
63,Corey Brewer\breweco01,SF-SG,31,TOT,72,18,1208,5.7,12.7,.449,1.2,4.4,.282,4.5,8.3,.539,2.6,3.6,.722,1.7,4.5,6.2,2.6,3.2,0.6,2.0,5.6,15.3,,107,106
63,Corey Brewer\breweco01,SF,31,LAL,54,2,694,5.4,11.9,.453,0.6,3.0,.186,4.8,8.9,.543,2.3,3.5,.667,1.6,4.8,6.4,2.8,2.8,0.6,2.6,5.7,13.6,,97,107
63,Corey Brewer\breweco01,SG,31,OKC,18,16,514,6.2,13.9,.444,2.2,6.5,.343,4.0,7.4,.532,3.0,3.8,.795,1.9,4.0,5.9,2.3,3.7,0.6,1.1,5.4,17.6,,121,105
64,Malcolm Brogdon\brogdma01,PG,25,MIL,48,20,1436,8.5,17.5,.485,2.2,5.6,.385,6.3,11.9,.532,2.6,3.0,.882,0.8,4.6,5.4,5.3,1.4,0.5,2.3,4.4,21.7,,112,113
65,Aaron Brooks\brookaa01,PG,33,MIN,32,1,189,7.4,18.3,.406,2.9,8.2,.355,4.5,10.1,.447,2.1,2.9,.727,1.9,2.6,4.5,5.3,1.6,0.0,2.9,7.4,19.8,,103,115
66,Dillon Brooks\brookdi01,SF,22,MEM,82,74,2350,7.3,16.6,.440,2.0,5.7,.356,5.3,10.9,.484,2.7,3.6,.747,1.1,4.5,5.5,2.9,1.6,0.4,2.7,5.0,19.3,,100,113
67,MarShon Brooks\brookma01,SG,29,MEM,7,1,193,13.4,26.7,.500,5.0,8.4,.594,8.4,18.3,.457,5.2,6.0,.870,2.1,3.4,5.5,6.5,2.9,0.8,4.2,1.6,36.9,,117,111
68,Anthony Brown\brownan02,SF,25,MIN,1,0,4,12.5,12.5,1.000,12.5,12.5,1.000,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,37.5,,279,120
69,Bobby Brown\brownbo02,PG,33,HOU,20,0,115,8.1,24.8,.328,4.7,17.1,.275,3.4,7.7,.444,0.4,0.9,.500,0.0,3.0,3.0,4.7,1.7,0.0,3.9,2.6,21.4,,83,110
70,Jaylen Brown\brownja02,SG,21,BOS,70,70,2152,8.7,18.6,.465,2.8,7.1,.395,5.9,11.5,.507,3.5,5.4,.644,1.5,6.5,8.0,2.6,1.6,0.6,2.9,4.2,23.6,,105,105
71,Lorenzo Brown\brownlo01,PG,27,TOR,14,0,139,5.0,12.1,.412,0.7,4.3,.167,4.3,7.8,.545,0.7,0.7,1.000,0.4,5.0,5.3,4.6,1.8,0.0,1.1,2.5,11.3,,102,108
72,Markel Brown\brownma02,SG,26,HOU,4,0,31,3.2,11.1,.286,1.6,7.9,.200,1.6,3.2,.500,0.0,0.0,,1.6,6.3,7.9,3.2,0.0,0.0,3.2,9.5,7.9,,74,111
73,Sterling Brown\brownst02,SG,22,MIL,54,4,776,5.3,13.2,.400,2.1,5.8,.352,3.2,7.3,.439,1.3,1.5,.875,1.7,7.5,9.2,1.6,2.0,0.8,1.6,5.1,13.9,,100,110
74,Nicolas Brussino\brussni01,SF,24,ATL,4,0,10,0.0,9.8,.000,0.0,9.8,.000,0.0,0.0,,0.0,0.0,,0.0,14.7,14.7,0.0,0.0,0.0,0.0,0.0,0.0,,0,111
75,Thomas Bryant\bryanth01,C,20,LAL,15,0,72,5.3,14.0,.381,0.7,6.6,.100,4.7,7.3,.636,3.3,6.0,.556,2.0,9.3,11.3,4.0,0.7,1.3,1.3,4.0,14.6,,100,108
76,Reggie Bullock\bullore01,SF,26,DET,62,52,1732,7.7,15.7,.489,3.6,8.1,.445,4.1,7.6,.536,1.1,1.4,.796,0.8,3.7,4.4,2.7,1.4,0.4,1.4,2.0,20.1,,118,110
77,Trey Burke\burketr01,PG,25,NYK,36,9,785,12.2,24.2,.503,2.4,6.6,.362,9.8,17.6,.556,2.3,3.6,.649,0.8,3.7,4.5,10.7,1.5,0.3,2.7,2.7,29.1,,117,114
78,Alec Burks\burksal01,SG,26,UTA,64,1,1059,8.1,19.6,.411,2.2,6.7,.331,5.8,12.9,.452,5.1,5.9,.863,0.9,8.2,9.1,3.2,1.8,0.4,2.8,3.6,23.4,,102,105
79,Jimmy Butler\butleji01,SG,28,MIN,59,59,2164,10.1,21.3,.474,1.6,4.6,.350,8.5,16.7,.509,8.4,9.8,.854,1.8,5.4,7.3,6.7,2.7,0.6,2.5,1.8,30.2,,122,110
80,Dwight Buycks\buyckdw01,PG,28,DET,29,0,427,9.6,23.1,.414,1.8,5.3,.333,7.8,17.9,.438,4.2,4.8,.878,1.4,3.4,4.8,6.9,2.2,0.2,4.6,4.6,25.1,,97,109
81,Bruno Caboclo\cabocbr01,SF,22,TOT,12,0,107,4.2,14.6,.290,1.4,8.0,.176,2.8,6.6,.429,2.4,2.8,.833,3.3,7.1,10.4,2.4,1.4,1.9,1.9,3.8,12.3,,87,110
81,Bruno Caboclo\cabocbr01,SF,22,TOR,2,0,7,0.0,14.1,.000,0.0,14.1,.000,0.0,0.0,,0.0,0.0,,0.0,7.0,7.0,7.0,7.0,0.0,0.0,7.0,0.0,,33,95
81,Bruno Caboclo\cabocbr01,SF,22,SAC,10,0,100,4.6,14.7,.310,1.5,7.6,.200,3.0,7.1,.429,2.5,3.0,.833,3.5,7.1,10.6,2.0,1.0,2.0,2.0,3.5,13.1,,90,111
82,Jose Calderon\caldejo01,PG,36,CLE,57,32,914,5.0,9.9,.503,2.4,5.2,.464,2.6,4.7,.545,1.3,1.6,.800,0.8,3.8,4.5,6.3,1.4,0.1,2.2,4.3,13.7,,122,115
83,Kentavious Caldwell-Pope\caldwke01,SG,24,LAL,74,74,2458,6.6,15.5,.426,3.1,8.1,.383,3.5,7.5,.473,3.0,3.8,.789,1.2,6.4,7.5,3.2,2.1,0.3,1.9,2.8,19.3,,111,108
84,Isaiah Canaan\canaais01,PG-SG,26,TOT,20,1,422,5.9,15.5,.380,2.5,7.5,.333,3.4,8.1,.423,5.2,5.8,.902,0.7,4.4,5.1,8.6,1.8,0.1,3.3,4.1,19.5,,110,114
84,Isaiah Canaan\canaais01,SG,26,HOU,1,0,4,0.0,12.3,.000,0.0,0.0,,0.0,12.3,.000,0.0,0.0,,0.0,12.3,12.3,0.0,0.0,0.0,0.0,0.0,0.0,,0,109
84,Isaiah Canaan\canaais01,PG,26,PHO,19,1,418,6.0,15.6,.382,2.5,7.6,.333,3.4,8.0,.429,5.3,5.8,.902,0.7,4.4,5.0,8.7,1.8,0.1,3.3,4.1,19.7,,110,114
85,Clint Capela\capelca01,C,23,HOU,74,74,2034,10.7,16.4,.652,0.0,0.0,.000,10.7,16.3,.653,3.5,6.2,.560,5.8,13.6,19.4,1.6,1.4,3.3,2.5,4.5,24.8,,126,101
86,DeMarre Carroll\carrode01,SF,31,BRK,73,73,2180,7.2,17.5,.414,3.2,8.7,.371,4.0,8.8,.457,4.2,5.5,.764,2.3,8.3,10.7,3.3,1.3,0.7,2.3,3.7,21.9,,109,110
87,Vince Carter\cartevi01,SF,41,SAC,58,5,1026,5.6,14.0,.403,2.8,8.1,.345,2.8,5.8,.483,1.4,1.8,.757,0.9,6.4,7.3,3.4,2.1,1.3,1.8,4.7,15.4,,103,110
88,Michael Carter-Williams\cartemi01,PG,26,CHO,52,2,835,4.4,13.4,.332,0.8,3.4,.237,3.6,9.9,.365,4.3,5.2,.820,2.2,5.9,8.1,6.8,2.6,1.3,3.0,5.8,14.0,,98,107
89,Alex Caruso\carusal01,PG,23,LAL,37,7,562,4.3,9.9,.431,1.1,3.7,.302,3.1,6.2,.507,1.8,2.6,.700,1.3,4.3,5.5,6.4,2.0,0.9,3.6,4.4,11.4,,98,109
90,Omri Casspi\casspom01,SF,29,GSW,53,7,740,7.8,13.5,.580,0.7,1.4,.455,7.2,12.0,.595,3.3,4.5,.725,2.0,11.1,13.0,3.3,1.2,1.2,2.4,4.6,19.5,,117,107
91,Willie Cauley-Stein\caulewi01,C,24,SAC,73,58,2044,9.6,19.1,.502,0.1,0.3,.250,9.5,18.8,.506,3.8,6.1,.619,3.2,9.4,12.6,4.3,1.9,1.7,2.7,4.6,23.1,,106,108
92,Tyler Cavanaugh\cavanty01,PF,23,ATL,39,1,518,6.3,14.3,.441,3.0,8.4,.360,3.3,5.9,.556,1.6,2.0,.810,4.2,7.7,12.0,2.5,0.8,0.4,1.3,5.8,17.3,,119,112
93,Mario Chalmers\chalmma01,PG,31,MEM,66,10,1421,6.0,15.8,.379,1.9,6.8,.277,4.1,9.0,.456,4.2,4.9,.855,0.5,5.1,5.6,7.0,2.8,0.5,4.2,6.4,18.0,,96,110
94,Tyson Chandler\chandty01,C,35,PHO,46,46,1151,5.0,7.8,.647,0.0,0.0,,5.0,7.8,.647,2.4,3.9,.617,5.6,11.8,17.4,2.2,0.7,1.1,2.5,4.4,12.5,,122,111
95,Wilson Chandler\chandwi01,SF,30,DEN,74,71,2346,5.9,13.3,.445,1.9,5.2,.358,4.1,8.1,.501,1.9,2.4,.772,2.2,6.3,8.4,3.4,0.9,0.8,1.9,3.3,15.6,,110,113
96,Marquese Chriss\chrisma01,PF,20,PHO,72,49,1527,6.3,15.0,.423,1.8,6.0,.295,4.6,9.0,.509,3.0,5.0,.608,2.4,10.0,12.4,2.6,1.6,2.2,3.4,6.4,17.4,,95,109
97,Ian Clark\clarkia01,SG,26,NOP,74,2,1455,7.3,16.2,.448,2.0,6.4,.318,5.2,9.8,.533,1.5,1.9,.763,0.3,3.8,4.2,3.6,1.1,0.3,1.9,3.9,18.1,,102,112
98,Jordan Clarkson\clarkjo01,SG,25,TOT,81,2,1888,11.0,24.4,.451,2.9,8.1,.352,8.1,16.2,.500,3.9,4.9,.800,1.5,4.1,5.5,5.6,1.5,0.2,3.2,2.7,28.7,,106,112
98,Jordan Clarkson\clarkjo01,SG,25,LAL,53,2,1256,11.4,25.4,.448,2.6,8.0,.324,8.8,17.4,.505,4.0,5.0,.795,1.7,4.4,6.1,6.6,1.5,0.1,3.6,2.4,29.4,,105,111
98,Jordan Clarkson\clarkjo01,SG,25,CLE,28,0,632,10.2,22.2,.456,3.4,8.4,.407,6.7,13.9,.486,3.6,4.5,.810,1.0,3.5,4.5,3.7,1.5,0.2,2.5,3.4,27.4,,109,115
