Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
492,Rashad Vaughn\vaughra01,SG,21,MIL,22,0,173,6.1,14.4,.420,3.7,10.1,.371,2.3,4.3,.533,1.2,1.7,.667,0.6,4.3,4.9,3.5,1.2,0.9,1.2,3.5,17.0,,112,113
492,Rashad Vaughn\vaughra01,SG,21,BRK,1,0,4,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,12.1,0.0,0.0,0.0,12.1,0.0,,233,118
492,Rashad Vaughn\vaughra01,SG,21,ORL,5,0,35,2.8,8.4,.333,1.4,2.8,.500,1.4,5.6,.250,0.0,0.0,,1.4,4.2,5.6,0.0,1.4,0.0,2.8,2.8,7.0,,67,113
493,Noah Vonleh\vonleno01,PF,22,TOT,54,16,875,5.9,13.2,.444,1.1,3.7,.303,4.7,9.5,.500,2.0,3.3,.621,3.9,13.6,17.5,1.9,1.1,1.0,1.7,3.8,14.9,,106,106
493,Noah Vonleh\vonleno01,PF,22,POR,33,12,476,4.9,10.0,.490,0.2,0.6,.333,4.7,9.4,.500,2.4,3.2,.742,3.7,13.8,17.5,1.4,0.6,1.1,1.6,4.4,12.4,,113,105
493,Noah Vonleh\vonleno01,PF,22,CHI,21,4,399,7.0,16.9,.413,2.2,7.3,.300,4.8,9.5,.500,1.6,3.3,.481,4.3,13.3,17.6,2.6,1.6,0.7,2.0,3.2,17.7,,101,108
494,Nikola Vucevic\vucevni01,C,27,ORL,57,57,1683,11.6,24.4,.475,1.9,5.9,.314,9.7,18.5,.527,2.2,2.7,.819,2.9,12.3,15.2,5.6,1.6,1.8,3.2,4.2,27.3,,105,106
495,Dwyane Wade\wadedw01,SG,36,TOT,67,3,1536,9.6,21.9,.438,1.0,3.6,.288,8.6,18.3,.468,4.3,6.1,.714,1.6,6.5,8.1,7.3,2.0,1.5,4.5,4.0,24.6,,98,109
495,Dwyane Wade\wadedw01,SG,36,CLE,46,3,1069,9.1,19.9,.455,1.1,3.2,.329,8.0,16.7,.479,4.3,6.1,.701,1.8,6.5,8.3,7.5,1.9,1.5,4.2,3.8,23.5,,102,110
495,Dwyane Wade\wadedw01,SG,36,MIA,21,0,467,10.9,26.6,.409,1.0,4.4,.220,9.9,22.1,.447,4.4,5.9,.745,1.2,6.5,7.6,7.0,2.0,1.6,5.2,4.3,27.1,,90,105
496,Dion Waiters\waitedi01,SG,26,MIA,30,30,918,8.9,22.4,.398,2.8,9.3,.306,6.1,13.1,.463,2.8,3.8,.739,0.4,3.8,4.2,6.2,1.3,0.5,3.8,3.3,23.5,,94,110
497,Kemba Walker\walkeke02,PG,27,CHO,80,80,2736,10.5,24.3,.431,4.1,10.7,.384,6.4,13.6,.469,6.5,7.5,.864,0.6,3.9,4.4,7.9,1.6,0.4,3.2,1.7,31.5,,115,111
498,John Wall\walljo01,PG,27,WAS,41,41,1410,9.9,23.5,.420,2.2,5.9,.371,7.7,17.6,.436,6.2,8.5,.726,0.8,4.5,5.3,13.8,2.0,1.6,5.6,2.8,28.1,,105,108
499,Tyrone Wallace\wallaty01,PG,23,LAC,30,19,851,6.3,14.1,.445,0.6,2.3,.250,5.7,11.8,.483,3.5,4.5,.782,1.2,4.8,6.0,4.1,1.5,0.7,2.6,4.7,16.6,,102,112
500,Taurean Waller-Prince\princta02,SF,23,ATL,82,82,2464,8.2,19.3,.426,3.5,9.1,.385,4.7,10.3,.461,3.0,3.6,.844,1.0,6.7,7.7,4.2,1.7,0.8,3.8,3.3,23.0,,100,111
501,Derrick Walton\waltode01,PG,22,MIA,16,0,147,2.7,8.5,.320,2.4,5.8,.412,0.3,2.7,.125,2.0,2.0,1.000,0.7,4.8,5.5,5.5,2.4,1.0,0.7,2.4,9.9,,123,106
502,Jameel Warney\warneja01,PF,24,DAL,3,0,27,13.0,22.3,.583,0.0,0.0,,13.0,22.3,.583,5.6,9.3,.600,7.4,9.3,16.7,0.0,0.0,0.0,1.9,3.7,31.6,,119,113
503,T.J. Warren\warretj01,SF,24,PHO,65,65,2142,11.8,23.8,.498,0.4,2.0,.222,11.4,21.7,.523,4.3,5.7,.757,2.8,4.6,7.4,1.9,1.5,0.9,1.9,3.3,28.4,,109,114
504,Travis Wear\weartr01,SF,27,LAL,17,0,228,5.2,15.1,.347,3.6,9.9,.362,1.7,5.2,.320,1.7,1.7,1.000,0.0,8.0,8.0,1.5,0.8,1.0,1.3,6.3,15.7,,98,109
505,James Webb\webbja01,SF,24,BRK,10,0,120,2.4,9.7,.250,1.6,7.7,.211,0.8,2.0,.400,0.0,0.0,,3.2,6.5,9.7,1.6,0.4,0.0,1.6,4.0,6.5,,81,114
506,Briante Weber\weberbr01,PG,25,TOT,18,0,237,4.0,9.0,.442,0.8,2.3,.364,3.2,6.7,.469,1.7,2.1,.800,1.7,5.7,7.4,4.6,3.8,1.1,3.2,5.9,10.5,,100,104
506,Briante Weber\weberbr01,PG,25,HOU,13,0,118,3.8,9.2,.409,1.7,3.8,.444,2.1,5.4,.385,1.7,1.7,1.000,1.3,6.3,7.5,5.4,4.2,1.3,2.9,7.5,10.8,,107,101
506,Briante Weber\weberbr01,PG,25,MEM,5,0,119,4.2,8.9,.476,0.0,0.8,.000,4.2,8.1,.526,1.7,2.5,.667,2.1,5.1,7.2,3.8,3.4,0.8,3.4,4.2,10.2,,92,108
507,David West\westda01,C,37,GSW,73,0,999,10.4,18.2,.571,0.1,0.4,.375,10.3,17.8,.576,2.9,3.8,.759,3.1,8.4,11.5,6.7,2.3,3.6,3.9,5.8,23.9,,113,103
508,Russell Westbrook\westbru01,PG,29,OKC,80,80,2914,12.9,28.7,.449,1.7,5.6,.298,11.2,23.2,.485,7.1,9.6,.737,2.6,11.1,13.7,14.0,2.5,0.3,6.5,3.4,34.5,,109,104
509,Andrew White\whitean01,SF,24,ATL,15,0,209,5.8,17.1,.342,4.2,11.5,.367,1.6,5.6,.292,0.2,0.9,.250,0.9,7.0,7.9,1.4,0.7,0.2,1.9,2.8,16.1,,88,113
510,Derrick White\whitede01,PG,23,SAS,17,0,139,5.8,12.0,.485,2.9,4.7,.615,2.9,7.3,.400,5.1,7.3,.700,1.8,7.6,9.5,3.3,1.5,1.1,2.2,2.9,19.6,,123,105
