PLAYER,TEAM,DRIVES
Greg Monroe,BOS,1.9
Guerschon Yabusele,BOS,0.6
Harrison Barnes,DAL,7.3
Hassan Whiteside,MIA,0.9
Henry Ellenson,DET,1.6
Ian Clark,NOP,3.1
Ian Mahinmi,WAS,0.3
Ike Anigbogu,IND,0
Iman Shumpert,SAC,1.4
Isaiah Canaan,PHX,7.1
Isaiah Hicks,NYK,0.7
Isaiah Taylor,ATL,7.8
Isaiah Thomas,LAL,12.3
Isaiah Whitehead,BKN,5.5
Ish Smith,DET,11.1
Ivan Rabb,MEM,0.3
Ivica Zubac,LAL,0.1
J.J. Barea,DAL,9.5
JJ Redick,PHI,2.2
JR Smith,CLE,3.1
JaKarr Sampson,SAC,1
JaMychal Green,MEM,1.2
JaVale McGee,GSW,0.2
Jabari Bird,BOS,0.8
Jabari Parker,MIL,4.3
Jack Cooley,SAC,0
Jacob Pullen,PHI,0.7
Jacob Wiley,BKN,0.5
Jae Crowder,UTA,1.9
Jahlil Okafor,BKN,1.1
Jake Layman,POR,0.4
Jakob Poeltl,TOR,0.4
Jalen Jones,DAL,2.3
Jamal Crawford,MIN,2.5
Jamal Murray,DEN,8
Jameel Warney,DAL,0
Jameer Nelson,DET,5.3
Jamel Artis,ORL,2.7
James Ennis III,DET,1.9
James Harden,HOU,17.1
James Johnson,MIA,6
James Michael McAdoo,PHI,0
James Webb III,BKN,0.3
James Young,PHI,0.7
Jamil Wilson,LAC,0.9
Jared Dudley,PHX,1.1
Jarell Eddie,CHI,0
Jarell Martin,MEM,1.6
Jarrett Allen,BKN,0.2
Jarrett Jack,NYK,7.5
Jason Smith,WAS,0.5
Jason Terry,MIL,0.9
Jawun Evans,LAC,3.9
Jaylen Brown,BOS,4.8
Jaylen Morris,ATL,2.7
Jayson Tatum,BOS,5.7
Jeff Green,CLE,2.5
Jeff Teague,MIN,14
Jeff Withey,DAL,0.1
Jerami Grant,OKC,2
Jeremy Evans,ATL,1
Jeremy Lamb,CHA,5.6
Jeremy Lin,BKN,17
Jerian Grant,CHI,8
Jerryd Bayless,PHI,2.7
Jimmy Butler,MIN,12.1
Joakim Noah,NYK,0.6
Jodie Meeks,WAS,1.9
Joe Harris,BKN,4.5
Joe Ingles,UTA,8.7
Joe Johnson,HOU,2.8
Joe Young,IND,2.3
Joel Bolomboy,MIL,0
Joel Embiid,PHI,3.3
Joffrey Lauvergne,SAS,0.3
John Collins,ATL,0.8
John Henson,MIL,0.3
John Holland,CLE,0.7
John Wall,WAS,15.5
Johnathan Motley,DAL,1.7
Johnny O'Bryant III,CHA,0.8
Jon Leuer,DET,1.6
Jonas Jerebko,UTA,1.4
Jonas Valanciunas,TOR,1.1
Jonathan Gibson,BOS,1
Jonathan Isaac,ORL,1
Jonathon Simmons,ORL,10
Jordan Bell,GSW,0.6
Jordan Clarkson,CLE,7.7
Jordan Crawford,NOP,2.6
Jordan Mickey,MIA,0.7
Jose Calderon,CLE,2.2
Josh Gray,PHX,7.4
Josh Hart,LAL,1.9
Josh Huestis,OKC,0.7
Josh Jackson,PHX,6.5
Josh Magette,ATL,2.8
Josh McRoberts,DAL,0
Josh Richardson,MIA,6.6
Josh Smith,NOP,0
Jrue Holiday,NOP,12.3
Juancho Hernangomez,DEN,0.6
Julius Randle,LAL,4.5
Julyan Stone,CHA,0.4
Justin Anderson,PHI,1.9
Justin Holiday,CHI,3.3
Justin Jackson,SAC,1.3
Justin Patton,MIN,1
Justise Winslow,MIA,4.6
Jusuf Nurkic,POR,0.6
Kadeem Allen,BOS,1.1
Karl-Anthony Towns,MIN,2.6
Kawhi Leonard,SAS,9.2
Kay Felder,DET,3.6
Kelly Olynyk,MIA,3.6
Kelly Oubre Jr.,WAS,4.1
Kemba Walker,CHA,11.6
Kendrick Perkins,CLE,0
Kenneth Faried,DEN,0.5
Kent Bazemore,ATL,8.1
Kentavious Caldwell-Pope,LAL,2.6
Kevin Durant,GSW,5.7
Kevin Love,CLE,1.4
Kevon Looney,GSW,0.7
Khem Birch,ORL,0.3
Khris Middleton,MIL,7.5
Klay Thompson,GSW,3.5
Kobi Simmons,MEM,3.7
Kosta Koufos,SAC,0.8
Kris Dunn,CHI,12.3
Kristaps Porzingis,NYK,2.5
Kyle Anderson,SAS,5.2
Kyle Collinsworth,DAL,4.3
Kyle Korver,CLE,0.4
Kyle Kuzma,LAL,4.9
Kyle Lowry,TOR,8.2
Kyle O'Quinn,NYK,0.6
Kyle Singler,OKC,1
Kyrie Irving,BOS,11.6
LaMarcus Aldridge,SAS,1.4
Lance Stephenson,IND,5.5
Lance Thomas,NYK,0.9
Langston Galloway,DET,1.4
Larry Drew II,NOP,2
Larry Nance Jr.,CLE,0.3
Lauri Markkanen,CHI,3.6
LeBron James,CLE,11.7
London Perrantes,CLE,1.1
Lonzo Ball,LAL,7.5
Lorenzo Brown,TOR,1.8
Lou Williams,LAC,11.5
Luc Mbah a Moute,HOU,3
Lucas Nogueira,TOR,0.1
Luis Montero,DET,0
Luke Babbitt,MIA,0.9
Luke Kennard,DET,3.4
Luke Kornet,NYK,1.1
Luol Deng,LAL,0
Malachi Richardson,TOR,1.8
Malcolm Brogdon,MIL,9.6
Malcolm Delaney,ATL,3.8
Malcolm Miller,TOR,0.6
Malik Beasley,DEN,1
Malik Monk,CHA,2.8
Mangok Mathiang,CHA,0
Manu Ginobili,SAS,6.8
MarShon Brooks,MEM,10.9
Marc Gasol,MEM,3.1
Marcin Gortat,WAS,0.3
Marco Belinelli,PHI,2.3
Marcus Georges-Hunt,MIN,0.7
Marcus Morris,BOS,2.8
Marcus Paige,CHA,1.2
Marcus Smart,BOS,6.3
Mario Chalmers,MEM,6
Mario Hezonja,ORL,3.2
Markel Brown,HOU,0.8
Markelle Fultz,PHI,9.3
Markieff Morris,WAS,1.4
Marquese Chriss,PHX,1.4
Marquis Teague,MEM,6.3
Marreese Speights,ORL,0.8
Marshall Plumlee,MIL,0.3
Marvin Williams,CHA,1.3
Mason Plumlee,DEN,0.9
Matt Costello,SAS,0.3
Matt Williams Jr.,MIA,0
Matthew Dellavedova,MIL,5.1
Maurice Harkless,POR,1.4
Maxi Kleber,DAL,0.3
Meyers Leonard,POR,0.4
Michael Beasley,NYK,4.8
Michael Carter-Williams,CHA,4.6
Michael Kidd-Gilchrist,CHA,3
Mike Conley,MEM,12.8
Mike James,NOP,8.4
Mike Muscala,ATL,0.9
Mike Scott,WAS,1.1
Miles Plumlee,ATL,0.3
Milos Teodosic,LAC,5
Milton Doyle,BKN,4.3
Mindaugas Kuzminskas,NYK,0
Mirza Teletovic,MIL,0.9
Monte Morris,DEN,2
Montrezl Harrell,LAC,1.3
Myke Henry,MEM,2.6
Myles Turner,IND,1.1
Nate Wolters,UTA,1.4
Naz Mitrou-Long,UTA,0
Nemanja Bjelica,MIN,2.3
Nene,HOU,1
Nerlens Noel,DAL,0.3
Nick Collison,OKC,0
Nick Young,GSW,0.9
Nicolas Batum,CHA,2.5
Nicolas Brussino,ATL,0
Nigel Hayes,SAC,0.4
Nik Stauskas,BKN,2.6
Nikola Jokic,DEN,2.7
Nikola Mirotic,NOP,1.3
Nikola Vucevic,ORL,2.5
Noah Vonleh,CHI,1.3
Norman Powell,TOR,4.1
OG Anunoby,TOR,1.9
Okaro White,CLE,0.3
Omari Johnson,MEM,0.5
Omer Asik,CHI,0.1
Omri Casspi,GSW,1.3
Otto Porter Jr.,WAS,2.6
PJ Dozier,OKC,0.5
PJ Tucker,HOU,1.1
Pascal Siakam,TOR,3.1
Pat Connaughton,POR,2.1
Patrick Beverley,LAC,11.3
Patrick McCaw,GSW,2
Patrick Patterson,OKC,0.9
Patty Mills,SAS,4.4
Pau Gasol,SAS,1.6
Paul George,OKC,8.9
Paul Millsap,DEN,5.6
Paul Zipser,CHI,2.4
Quincy Acy,BKN,1.2
Quincy Pondexter,CHI,0.9
Quinn Cook,GSW,4.5
RJ Hunter,HOU,1
Rajon Rondo,NOP,7.9
Ramon Sessions,WAS,4.9
Rashad Vaughn,ORL,0.6
Raul Neto,UTA,5.5
Raymond Felton,OKC,4.4
Reggie Bullock,DET,2.3
Reggie Hearn,DET,0
Reggie Jackson,DET,12.4
Richard Jefferson,DEN,1.2
Richaun Holmes,PHI,0.9
Ricky Rubio,UTA,11.2
Robert Covington,PHI,2.1
Robin Lopez,CHI,1.2
Rodney Hood,CLE,6
Rodney McGruder,MIA,1.4
Rodney Purvis,ORL,2.6
Ron Baker,NYK,1.3
Rondae Hollis-Jefferson,BKN,5.3
Royce O'Neale,UTA,4
Rudy Gay,SAS,4.6
Rudy Gobert,UTA,1
Russell Westbrook,OKC,19.2
Ryan Anderson,HOU,1.4
Ryan Arcidiacono,CHI,1
Salah Mejri,DAL,0
Sam Dekker,LAC,1.6
Scotty Hopson,DAL,1
Sean Kilpatrick,CHI,2.5
Semi Ojeleye,BOS,0.7
Serge Ibaka,TOR,3.3
Shabazz Muhammad,MIL,1.4
Shabazz Napier,POR,4.5
Shane Larkin,BOS,3.1
Shaquille Harrison,PHX,6.1
Shaun Livingston,GSW,1.2
Shelvin Mack,ORL,8.2
Sindarius Thornwell,LAC,2.2
Skal Labissiere,SAC,1.2
Solomon Hill,NOP,1.8
Spencer Dinwiddie,BKN,12
Stanley Johnson,DET,4.1
Stephen Curry,GSW,7.6
Sterling Brown,MIL,1.7
Steven Adams,OKC,0
T.J. McConnell,PHI,7.3
TJ Leaf,IND,0.8
TJ Warren,PHX,4.9
Taj Gibson,MIN,0.8
Tarik Black,HOU,0.2
Taurean Prince,ATL,8
Terrance Ferguson,OKC,0.5
Terrence Ross,ORL,3.4
Terry Rozier,BOS,6.1
Thabo Sefolosha,UTA,3
Thaddeus Young,IND,2.5
Thomas Bryant,LAL,0
Thon Maker,MIL,0.3
Tim Frazier,WAS,2.7
Tim Hardaway Jr.,NYK,5.2
Tim Quarterman,HOU,1
Timofey Mozgov,BKN,0.4
Timothe Luwawu-Cabarrot,PHI,2.2
Tobias Harris,LAC,9
Tomas Satoransky,WAS,4.9
Tony Allen,NOP,1.1
Tony Bradley,UTA,0
Tony Parker,SAS,9.4
Tony Snell,MIL,1.8
Torrey Craig,DEN,0.9
Travis Wear,LAL,0.4
Treveon Graham,CHA,1.8
Trevor Ariza,HOU,3.5
Trevor Booker,IND,1.3
Trey Burke,NYK,7.8
Trey Lyles,DEN,3.2
Trey McKinney-Jones,IND,0
Tristan Thompson,CLE,0.6
Troy Daniels,PHX,1
Troy Williams,NYK,1
Tyler Cavanaugh,ATL,0.5
Tyler Dorsey,ATL,3.6
Tyler Ennis,LAL,4.2
Tyler Johnson,MIA,5.5
Tyler Lydon,DEN,0
Tyler Ulis,PHX,8.2
Tyler Zeller,MIL,0.3
Tyreke Evans,MEM,12.2
Tyrone Wallace,LAC,5.6
Tyson Chandler,PHX,0
Tyus Jones,MIN,2.7
Udonis Haslem,MIA,0
Vander Blue,LAL,1.2
Victor Oladipo,IND,10.8
Vince Carter,SAC,1.3
Vincent Hunter,MEM,0
Wade Baldwin IV,POR,2.3
Walter Lemon Jr.,NOP,2.4
Wayne Ellington,MIA,1
Wayne Selden,MEM,5
Wes Iwundu,ORL,1.6
Wesley Johnson,LAC,0.7
Wesley Matthews,DAL,4.6
Will Barton,DEN,8.7
Willie Cauley-Stein,SAC,3.2
Willie Reed,DET,0.2
Willy Hernangomez,CHA,0.3
Wilson Chandler,DEN,4
Xavier Munford,MIL,0.5
Xavier Rathan-Mayes,MEM,7
Xavier Silas,BOS,0
Yogi Ferrell,DAL,5
Zach Collins,POR,0.8
Zach LaVine,CHI,8.7
Zach Randolph,SAC,2.6
Zaza Pachulia,GSW,0.4
Zhou Qi,HOU,0.6
